BscScan Link,Transaction Hash,From Address,To Address,Amount,Block Number,Transaction Index,From Address Dollar Value Change,To Address Dollar Value Change,Comment
https://bscscan.com/tx/0xad343a3e76eaa377dd34973ab4627d01c69f1e4e730948048325a1c919c30a7f,0xad343a3e76eaa377dd34973ab4627d01c69f1e4e730948048325a1c919c30a7f,0x2c74bb17142fc5ed2056d32515b3b08135cb044e,0x0fe6cf7a2687c5bddf302c5ccea901ba0bf71816,24777329990000000000000,22732887,53,0,0,Internal LP transfer
https://bscscan.com/tx/0xad343a3e76eaa377dd34973ab4627d01c69f1e4e730948048325a1c919c30a7f,0xad343a3e76eaa377dd34973ab4627d01c69f1e4e730948048325a1c919c30a7f,0x0fe6cf7a2687c5bddf302c5ccea901ba0bf71816,0xc80321a70f3aa6c82cf2c9c8af2d46666bc4846d,2477732000000000000,22732887,53,0,2477732000000000000,Removed USD+ liquidity
https://bscscan.com/tx/0xad343a3e76eaa377dd34973ab4627d01c69f1e4e730948048325a1c919c30a7f,0xad343a3e76eaa377dd34973ab4627d01c69f1e4e730948048325a1c919c30a7f,0x2c74bb17142fc5ed2056d32515b3b08135cb044e,0xec30da6361905b8f3e4a93513d937db992301276,6194332496000000000000,22732887,53,0,0,Internal LP transfer
https://bscscan.com/tx/0xad343a3e76eaa377dd34973ab4627d01c69f1e4e730948048325a1c919c30a7f,0xad343a3e76eaa377dd34973ab4627d01c69f1e4e730948048325a1c919c30a7f,0xec30da6361905b8f3e4a93513d937db992301276,0xac4e179feb07548ddcfbd347c8dfa332c2a4ceb6,3097166000000000000,22732887,53,0,3097166000000000000,Removed USD+ liquidity
https://bscscan.com/tx/0xe8dabbc8957e716a250f9ade53b66b5b7850c939326303f9d79f2f36d3130f0e,0xe8dabbc8957e716a250f9ade53b66b5b7850c939326303f9d79f2f36d3130f0e,0xec30da6361905b8f3e4a93513d937db992301276,0x41a77bd568008dc6fe745db6f5bedb7663d5ee08,11865882000000000000,22732887,55,0,0,Internal LP transfer
https://bscscan.com/tx/0xe8dabbc8957e716a250f9ade53b66b5b7850c939326303f9d79f2f36d3130f0e,0xe8dabbc8957e716a250f9ade53b66b5b7850c939326303f9d79f2f36d3130f0e,0x41a77bd568008dc6fe745db6f5bedb7663d5ee08,0xb16187b31fd260385ff405721796d4cd84739e55,5939000000000000,22732887,55,0,5939000000000000,Removed USD+ liquidity
https://bscscan.com/tx/0x0e69228ba55ba6a2f7c75e3e1549ce966d99c2ed4b3e171d89161f65c226bc3e,0x0e69228ba55ba6a2f7c75e3e1549ce966d99c2ed4b3e171d89161f65c226bc3e,0x0fe6cf7a2687c5bddf302c5ccea901ba0bf71816,0x30f96ad4856d7e699963b589591f03710976a6e8,1486342177000000000000,22732888,1,0,0,Internal LP transfer
https://bscscan.com/tx/0x0e69228ba55ba6a2f7c75e3e1549ce966d99c2ed4b3e171d89161f65c226bc3e,0x0e69228ba55ba6a2f7c75e3e1549ce966d99c2ed4b3e171d89161f65c226bc3e,0x30f96ad4856d7e699963b589591f03710976a6e8,0x21376916d9dacb5550aa55c32d4265fd2fa1ba25,148634000000000000,22732888,1,0,148634000000000000,Removed USD+ liquidity
https://bscscan.com/tx/0xd68dbf4872ef541389db067fee932ebd2c8b1e4bdfb21fe0bac121b0a8dc7fe0,0xd68dbf4872ef541389db067fee932ebd2c8b1e4bdfb21fe0bac121b0a8dc7fe0,0xec30da6361905b8f3e4a93513d937db992301276,0xcaa926480d998522beb3ded06d4ee367fba4eaad,64195895000000000000,22732888,12,0,0,Internal LP transfer
https://bscscan.com/tx/0xd68dbf4872ef541389db067fee932ebd2c8b1e4bdfb21fe0bac121b0a8dc7fe0,0xd68dbf4872ef541389db067fee932ebd2c8b1e4bdfb21fe0bac121b0a8dc7fe0,0xcaa926480d998522beb3ded06d4ee367fba4eaad,0x09e7cec5694a1adb67e234406a6411100528ffc7,32097000000000000,22732888,12,0,32097000000000000,Removed USD+ liquidity
https://bscscan.com/tx/0x1efd700a3a4f436f0b106b3319de3107c1d5d13ebaff5339f8aa40fc68cedc94,0x1efd700a3a4f436f0b106b3319de3107c1d5d13ebaff5339f8aa40fc68cedc94,0xec30da6361905b8f3e4a93513d937db992301276,0x82ef7b01bc81117c86c82f4597ab032e39c46c61,93912721000000000000,22732888,15,0,0,Internal LP transfer
https://bscscan.com/tx/0x1efd700a3a4f436f0b106b3319de3107c1d5d13ebaff5339f8aa40fc68cedc94,0x1efd700a3a4f436f0b106b3319de3107c1d5d13ebaff5339f8aa40fc68cedc94,0x82ef7b01bc81117c86c82f4597ab032e39c46c61,0xce7912a19a4660caef1b2031769bf2d265f65c0a,46956000000000000,22732888,15,0,46956000000000000,Removed USD+ liquidity
https://bscscan.com/tx/0xf95e1c43267b7dfbf03fcccb21397bc637299b59c2eb13026dc67db9c81a2222,0xf95e1c43267b7dfbf03fcccb21397bc637299b59c2eb13026dc67db9c81a2222,0xec30da6361905b8f3e4a93513d937db992301276,0xd24c3ae86bd009d1de3550e378897a7f126647d1,59794743000000000000,22732889,5,0,0,Internal LP transfer
https://bscscan.com/tx/0xf95e1c43267b7dfbf03fcccb21397bc637299b59c2eb13026dc67db9c81a2222,0xf95e1c43267b7dfbf03fcccb21397bc637299b59c2eb13026dc67db9c81a2222,0xd24c3ae86bd009d1de3550e378897a7f126647d1,0x525fae987fefc44313d562102e36498929138af5,29897000000000000,22732889,5,0,29897000000000000,Removed USD+ liquidity
https://bscscan.com/tx/0xc33c54b0b5d5457bfc059f9b3d8f7ea1d4c130c39f5b7023a0b1d44cdf432803,0xc33c54b0b5d5457bfc059f9b3d8f7ea1d4c130c39f5b7023a0b1d44cdf432803,0x0fe6cf7a2687c5bddf302c5ccea901ba0bf71816,0xfbd94fcd75240ef92c11c7abcef14230e67d1d1a,406765483000000000000,22732940,55,0,100000000000000000000,Bought USD+
https://bscscan.com/tx/0x8638cdf1f45506d13cdeb0277a30603db7a8473a65acbfc084420035ec2a78eb,0x8638cdf1f45506d13cdeb0277a30603db7a8473a65acbfc084420035ec2a78eb,0xfbd94fcd75240ef92c11c7abcef14230e67d1d1a,0x0f8c95890b7bdecfae7990bf32f22120111e0b44,406765483000000000000,22732949,48,-182870822069042951283,0,Sold USD+
https://bscscan.com/tx/0x8638cdf1f45506d13cdeb0277a30603db7a8473a65acbfc084420035ec2a78eb,0x8638cdf1f45506d13cdeb0277a30603db7a8473a65acbfc084420035ec2a78eb,0x0f8c95890b7bdecfae7990bf32f22120111e0b44,0x26bff40cdd8db07e9a5341fcdbac29926beefa71,203382000000000000,22732949,48,0,203382000000000000,Removed USD+ liquidity
