Address,Amount
0x1729eb3e32c02e892b16b686a8f4e4e76139025f,$0.0
0xbd486c9bc38bb71ada7113ce3f2c9fa41b98e81a,$5.17
0x853a4dce16c269505dc92b0f3b53ae9e8a80b228,$1.01
0x2d53914cf626ffb125a6f9dc87c28aabf867a18c,$164.9
0x2d6132ac75063692536059dd6a49cf5fb3624042,$36.33
0x07c044e8b1c465fa0a886bd8ec56da4439b02d21,$966.98
0xb7f3976521efb72c5f065c79dc619a557f2e24b8,$770.11
0xafa325535d0ffa929708be9dbd968e5e7b180a57,$7.47
0x070415d711f7f4f6043394aeadcc36b104d83a92,$0.11
0xf0ee45c02747120c51f03d729554f7190f3b9276,$126.76
0x2e6a27556bf03125b4db4704fcc86247d432365b,$0.0
0xe450e60c6ad9d46308c562a9f1dc06f5a77fad5e,$0.0
0xe447fe906487a6dc582a862a00bd8dae91c86e8b,$0.53
0xe061beca18d55805d14af8072dc6396443b4c54f,$103.76
0xb79a6f2d5f138be8f049d6966771b846be350944,$80.92
0xc2dd1bdd6f4acbaa1a69bbd36c8a59aff7b3e063,$0.52
0x3c473a87319826e6dc2737abadf8879e7c325661,$9.8
0xfcbc54dd92b27299986bc3fbb7934f53ce3e300d,$179.41
0x3ffa11acc1b21d44ddc39416f072c57e0b6ac957,$1.82
0xd2eca46b81f114650a6170aaf1e36832a64bc8b3,$0.0
0x90b83c2fb587b00b961f0ee0755b89c803f07945,$0.01
0xcb952b58d8939d95736231c89a67640fc8d4b94d,$16.08
0xa07a0d3a5ea0908cf533bebab4ddd4e9073e533a,$468.47
0xfde25e4a3b64a7470e55705a02dc3d2628602773,$102.86
0x6181c44c062d76d08500cca54cb796ac7ecec24f,$1807.98
0x9ecdd939aeb6d74c5f7cb9604d873d7c2766db51,$1.09
0xaa8bb14b58e867514f4ad09d9de4b738dc2e5f36,$342.74
0x247fcfdef8d1f4169bc6c5f52b2f73ca1288a9f9,$0.0
0x553d68f907fafcb0a51feab3079cfc5e0b7be4ec,$84.36
0x30faeb58016c7a979585f33d4258ef00b122c614,$0.01
0x3214e141bdae08be1f382a885cf3d2a448a5e780,$935.55
0xa96dfd5942c1d8c39f0e08b2bc055f412950e828,$13.48
0x190ad96cd76382dbfce44cf7db915a71f974e1c8,$0.07
0x1fc850762b2714bf53df1fd05c4b1ac9eb93de8f,$75.63
0xf7d32344c8e9b0d9cd57fe15bad06c6924b9263e,$193.95
0xc54070da79e7e3e2c95d3a91fe98a42000e65a48,$0.23
0xf5d7bb6cb58f746dcb087c0d4129beb249730723,$1389.4
0xdec068b3a229c2b8eea394feaf7b48ee57f7222f,$42.19
0x21fddfd3557f807fb308a97950c613bbe89baa7f,$0.68
0x56eeb045258d16f041c8347e30cb783b650edce3,$2.35
0x2c2e7dca11c0cf96e27ba53e196ab79b4c123b0a,$1613.7
0x54d469bbeb168ef4f44d73b6d22ba0f11b82873a,$0.0
0xc0897785fb0c3e6289c350f501b36e7276dee92a,$71.23
0x4167f26312c8fe15bf4b04c0e7e8958734eb6931,$106.4
0x2bd37f67ef2894024d3ee52b20a6cb87d71b2933,$0.32
0xd7664c12b16b659a7e743adc28d4747eacbd5523,$1.03
0xd367ab4d74f103dba4c09cc19a7aa0c75967b8c3,$194.43
0x22c90bc05ac3275109a3d2b1990491a667930aa2,$9108.81
0x1f63a3753ded20a3765cc69aa02d91a14204c4f0,$43.41
0xaa59d1f056e582c0ef065e0475c7ccd427938d4b,$65.33
0x9df00f107c531981c44db2e73a216b47dab81046,$7.77
0x88d2111ea32f1a81a02332ac65722bc4ff2118c7,$0.9
0x29f2b1c3e18da9a71e18b8d21e8628f7d935ade9,$198.02
0xacea3bdd0af0de51a8d2003fe76bf2310fb9c636,$0.29
0xa0e49a1b2eacadf5dfba7f9c02df71dc7fd56fb2,$340.35
0xd02364b9ee5f21c5cf4e346c093e8ccde32f57c0,$610.88
0x292fa3225f8f6884e8c3c555143679787fbf9ee8,$0.01
0x412a66bdaede5aa901fb125db45c53956a3d835f,$114.47
0xcf79ac2cefb3eb3bfd57b8f3d3c1f0cc26bd7034,$137.18
0x98468c0e9342d4e0ac3e09257251fab192992092,$1.11
0x48f8e4f2ed6f3ad4ba2d41150af2db462721d264,$0.18
0xaf4b8d2214a6e486a9e7b142fdc0c14323022b02,$800.33
0xf652049f5ec88515e76bc355562b825716d0d05f,$0.85
0x6aab3a5d61c8e2b6b0f1b6701dfd7477b0b13a3f,$95.76
0x57967be4b1778512b34f6dcd4344e30e62887dde,$534.52
0x089da352d9b9c929f2e41bd85769fafc31b67376,$44.4
0xa0db06b78488834c9c8e65f5854200318f2cb179,$2.4
0x6e4efc631bf2d85fa978544813280d2988a5d2ee,$0.75
0x57201f406818e73d274824ef71c4207d82fa38d4,$382.05
0x9a08883997cdae37e58c43928fd7dbfbf1624654,$4.53
0x03673e5131103e54b713f537554ae597c3edcf57,$899.9
0xe02cf3ed3705a92d89a0573a60e5e52f0eac52aa,$0.95
0x7b3fc8884f69a30bea47013961e06c54fc003ad3,$61.75
0x72dadd09171bd3044898020989c516e8b956cbdb,$328.17
0xa0a377d13d29ce084037b76815c358c16e6a3405,$35.53
0x392c725ffe9f6649e7b485252621302a78184c10,$65.63
0x4e3e23277961b62696e77b2993d2deb6943a1b37,$245.82
